,y_pred,pi_lo,pi_hi,0,charge,discharge,soc_start,soc_end
2025-06-30 16:15:00+02:00,62.28981598246728,2.2157919082988755,112.5814219827655,,0.0,-0.0,100.0,100.0
2025-06-30 16:30:00+02:00,64.68129563960089,5.139573670135711,115.505579488015,,0.0,-0.0,100.0,100.0
2025-06-30 16:45:00+02:00,68.6497269751849,9.550702854950494,119.91896985832926,,0.0,-0.0,100.0,100.0
2025-06-30 17:00:00+02:00,86.14690961927539,25.107157809714238,135.47112894790183,,0.0,0.0,100.0,100.0
2025-06-30 17:15:00+02:00,89.08674670750975,28.403495352105985,138.7655428691548,,0.0,0.0,100.0,100.0
2025-06-30 17:30:00+02:00,91.21394734147746,31.954819388052762,142.31749889510073,,0.0,0.0,100.0,100.0
2025-06-30 17:45:00+02:00,93.54469599710579,35.29930765606476,145.6650279389062,,0.0,0.0,100.0,100.0
2025-06-30 18:00:00+02:00,111.09664742931615,46.39766917658048,156.76522385667548,,0.0,-0.0,100.0,100.0
2025-06-30 18:15:00+02:00,113.45049320084443,50.18974155481097,160.55671530353536,,0.0,0.0,100.0,100.0
2025-06-30 18:30:00+02:00,114.63678299206777,53.899179466705895,164.26752728929313,,0.0,-0.0,100.0,100.0
2025-06-30 18:45:00+02:00,117.13326548541686,57.77533594770568,168.14537923009254,,0.0,-0.0,100.0,100.0
2025-06-30 19:00:00+02:00,154.93780393784044,82.66683935391164,193.03477098136227,,0.0,-0.0,100.0,100.0
2025-06-30 19:15:00+02:00,157.2446702814354,85.71526825483858,196.08065211250397,,0.0,0.0,100.0,100.0
2025-06-30 19:30:00+02:00,158.7138551736144,88.00913307818362,198.37397375330445,,0.0,0.0,100.0,100.0
2025-06-30 19:45:00+02:00,159.88245999206725,90.38172356642616,200.7484586054149,,0.0,0.0,100.0,100.0
2025-06-30 20:00:00+02:00,223.91907657319405,138.05033030703925,248.47619168109287,,0.0,12.5,100.0,86.84210526315789
2025-06-30 20:15:00+02:00,224.81239617925286,137.85194831312708,248.26490082948408,,0.0,12.5,86.84210526315789,73.68421052631578
2025-06-30 20:30:00+02:00,224.81882494314857,137.62741070381227,248.0325373677824,,0.0,12.5,73.68421052631578,60.52631578947368
2025-06-30 20:45:00+02:00,223.86092419142145,137.2853742806202,247.68695868496872,,0.0,12.5,60.52631578947368,47.368421052631575
2025-06-30 21:00:00+02:00,187.74149498491624,118.43836964059152,228.82837181253115,,0.0,12.5,47.368421052631575,34.21052631578947
