ts,y_true,y_pred,pi_lo,pi_hi
2025-07-01 00:00:00+00:00,89.1,89.67028728472819,62.74720491593554,129.48264305522645
2025-07-01 00:15:00+00:00,89.1,89.65350637915006,62.73042401035741,129.46586214964833
2025-07-01 00:30:00+00:00,89.1,89.65350637915006,62.73042401035741,129.46586214964833
2025-07-01 00:45:00+00:00,89.1,89.64578548371927,62.72270311492662,129.45814125421754
2025-07-01 01:00:00+00:00,88.32,88.27594375868684,61.35286138989419,128.0882995291851
2025-07-01 01:15:00+00:00,88.32,88.27594375868684,61.35286138989419,128.0882995291851
2025-07-01 01:30:00+00:00,88.32,88.27594375868684,61.35286138989419,128.0882995291851
2025-07-01 01:45:00+00:00,88.32,88.27594375868684,61.35286138989419,128.0882995291851
2025-07-01 02:00:00+00:00,90.01,90.07961659095638,63.15653422216373,129.89197236145463
2025-07-01 02:15:00+00:00,90.01,90.08991547055467,63.16683310176202,129.90227124105294
2025-07-01 02:30:00+00:00,90.01,90.09157148166568,63.16848911287303,129.90392725216395
2025-07-01 02:45:00+00:00,90.01,90.10853807089642,63.185455702103766,129.92089384139467
2025-07-01 03:00:00+00:00,98.78,97.23384456320382,70.31076219441117,137.04620033370207
2025-07-01 03:15:00+00:00,98.78,97.24651194498622,70.32342957619358,137.0588677154845
2025-07-01 03:30:00+00:00,98.78,97.22762209320427,70.30453972441163,137.03997786370255
2025-07-01 03:45:00+00:00,98.78,97.27998238702901,70.35690001823636,137.09233815752728
2025-07-01 04:00:00+00:00,114.97,114.32157035730016,87.39848798850751,154.13392612779842
2025-07-01 04:15:00+00:00,114.97,114.71431883894347,87.79123647015082,154.52667460944173
2025-07-01 04:30:00+00:00,114.97,114.87825896450624,87.9551765957136,154.69061473500452
2025-07-01 04:45:00+00:00,114.97,115.2909622444604,88.36787987566775,155.10331801495866
2025-07-01 05:00:00+00:00,120.28,120.87356289114418,93.95048052235153,160.68591866164243
2025-07-01 05:15:00+00:00,120.28,120.44734305429903,93.52426068550638,160.25969882479728
2025-07-01 05:30:00+00:00,120.28,120.12322666542151,93.20014429662886,159.93558243591977
2025-07-01 05:45:00+00:00,120.28,119.9694990786767,93.04641670988406,159.78185484917498
2025-07-01 06:00:00+00:00,110.76,113.511504533723,86.58842216493035,153.32386030422126
2025-07-01 06:15:00+00:00,110.76,113.51554905271573,86.59246668392308,153.327904823214
2025-07-01 06:30:00+00:00,110.76,113.91129254419221,86.98821017539956,153.72364831469048
2025-07-01 06:45:00+00:00,110.76,113.84343409021172,86.92035172141907,153.65578986070997
2025-07-01 07:00:00+00:00,82.71,93.26454354439146,66.34146117559881,133.07689931488972
2025-07-01 07:15:00+00:00,82.71,92.9508666421527,66.02778427336006,132.76322241265098
2025-07-01 07:30:00+00:00,82.71,91.88118881548772,64.95810644669507,131.693544585986
2025-07-01 07:45:00+00:00,82.71,91.73796218513162,64.81487981633897,131.55031795562988
2025-07-01 08:00:00+00:00,77.22,82.77143696275066,55.84835459395801,122.58379273324891
2025-07-01 08:15:00+00:00,77.22,82.91930343758456,55.99622106879191,122.73165920808282
2025-07-01 08:30:00+00:00,77.22,82.90529395170549,55.98221158291284,122.71764972220376
2025-07-01 08:45:00+00:00,77.22,83.00204285614936,56.07896048735671,122.81439862664763
2025-07-01 09:00:00+00:00,68.74,70.07693479088324,43.153852422090594,109.8892905613815
2025-07-01 09:15:00+00:00,68.74,70.17211675059377,43.249034381801124,109.98447252109204
2025-07-01 09:30:00+00:00,68.74,70.16389549599758,43.24081312720493,109.97625126649584
2025-07-01 09:45:00+00:00,68.74,70.44645144441463,43.523369075621986,110.2588072149129
2025-07-01 10:00:00+00:00,50.5,49.969623353736694,23.046540984944045,89.78197912423497
2025-07-01 10:15:00+00:00,50.5,49.95861005175141,23.035527682958758,89.77096582224968
2025-07-01 10:30:00+00:00,50.5,50.12071585995681,23.19763349116416,89.93307163045507
2025-07-01 10:45:00+00:00,50.5,50.273123110385,23.350040741592352,90.08547888088327
2025-07-01 11:00:00+00:00,50.48,50.0351547523634,23.112072383570748,89.84751052286165
