,y_pred,pi_lo,pi_hi,0,charge,discharge,soc_start,soc_end
2025-07-01 02:30:00+02:00,85.10261228527291,35.078065255790094,131.98224988729748,,0.0,0.0,-0.0,-0.0
2025-07-01 02:45:00+02:00,83.15529304555653,33.130746016073715,130.0349306475811,,0.0,0.0,-0.0,-0.0
2025-07-01 03:00:00+02:00,80.56603954106058,30.541492511577758,127.44567714308513,,7.236842105263158,0.0,-0.0,6.875
2025-07-01 03:15:00+02:00,80.12839565723704,30.103848627754218,127.0080332592616,,12.5,0.0,6.875,18.75
2025-07-01 03:30:00+02:00,79.88525309399601,29.860706064513195,126.76489069602059,,12.5,0.0,18.75,30.625
2025-07-01 03:45:00+02:00,79.85528226012431,29.830735230641494,126.73491986214887,,12.5,0.0,30.625,42.5
2025-07-01 04:00:00+02:00,78.59234481607018,28.567797786587363,125.47198241809474,,12.5,0.0,42.5,54.375
2025-07-01 04:15:00+02:00,79.17059606678693,29.14604903730411,126.0502336688115,,12.5,0.0,54.375,66.25
2025-07-01 04:30:00+02:00,79.74752288251098,29.72297585302816,126.62716048453555,,12.5,0.0,66.25,78.125
2025-07-01 04:45:00+02:00,80.14160919595913,30.117062166476316,127.02124679798371,,12.5,0.0,78.125,90.0
2025-07-01 05:00:00+02:00,91.58075694180832,41.5562099123255,138.46039454383288,,0.0,0.0,90.0,90.0
2025-07-01 05:15:00+02:00,92.80074290609186,42.77619587660904,139.68038050811643,,0.0,0.0,90.0,90.0
2025-07-01 05:30:00+02:00,94.92399637201918,44.89944934253636,141.80363397404375,,0.0,0.0,90.0,90.0
2025-07-01 05:45:00+02:00,97.81291159172281,47.78836456223999,144.69254919374737,,0.0,0.0,90.0,90.0
2025-07-01 06:00:00+02:00,111.19173014506974,61.16718311558692,158.0713677470943,,0.0,10.500000000000002,90.0,78.94736842105263
2025-07-01 06:15:00+02:00,114.08686366003624,64.06231663055343,160.9665012620608,,0.0,12.5,78.94736842105263,65.78947368421052
2025-07-01 06:30:00+02:00,116.026988848201,66.00244181871818,162.90662645022556,,0.0,12.5,65.78947368421052,52.63157894736842
2025-07-01 06:45:00+02:00,116.89221389687452,66.8676668673917,163.77185149889908,,0.0,12.5,52.63157894736842,39.473684210526315
2025-07-01 07:00:00+02:00,114.91995724332857,64.89541021384575,161.79959484535314,,0.0,12.5,39.473684210526315,26.31578947368421
2025-07-01 07:15:00+02:00,113.6383646413257,63.613817611842876,160.51800224335025,,0.0,12.5,26.31578947368421,13.157894736842104
