,y_pred,pi_lo,pi_hi,0,charge,discharge,soc_start,soc_end
2025-07-30 20:15:00+02:00,144.62468794633466,93.07642879256824,190.15727332540862,,0.0,12.5,39.473684210526315,26.31578947368421
2025-07-30 20:30:00+02:00,144.06912385229816,92.52086469853174,189.60170923137213,,0.0,12.5,26.31578947368421,13.157894736842104
2025-07-30 20:45:00+02:00,141.8177551921597,90.26949603839327,187.35034057123366,,0.0,12.5,13.157894736842104,-0.0
2025-07-30 21:00:00+02:00,118.20771089674966,66.65945174298324,163.74029627582362,,0.0,0.0,-0.0,-0.0
2025-07-30 21:15:00+02:00,117.65281696893999,66.10455781517356,163.18540234801395,,0.0,0.0,-0.0,-0.0
2025-07-30 21:30:00+02:00,117.10339000438225,65.55513085061583,162.6359753834562,,0.0,0.0,-0.0,0.0
2025-07-30 21:45:00+02:00,116.84364518057478,65.29538602680836,162.37623055964875,,0.0,-0.0,0.0,0.0
2025-07-30 22:00:00+02:00,107.88137599950666,56.333116845740236,153.41396137858064,,0.0,-0.0,0.0,0.0
2025-07-30 22:15:00+02:00,107.33473826904886,55.78647911528243,152.86732364812283,,0.0,-0.0,0.0,0.0
2025-07-30 22:30:00+02:00,107.29060840886565,55.74234925509923,152.82319378793963,,0.0,-0.0,0.0,0.0
2025-07-30 22:45:00+02:00,106.73349661072061,55.185237456954184,152.26608198979457,,0.0,-0.0,0.0,0.0
2025-07-30 23:00:00+02:00,98.93327914442335,47.38501999065693,144.46586452349732,,0.0,-0.0,0.0,0.0
2025-07-30 23:15:00+02:00,96.41899009778753,44.870730944021105,141.9515754768615,,0.0,0.0,0.0,-0.0
2025-07-30 23:30:00+02:00,96.51849238836829,44.970233234601864,142.05107776744225,,0.0,-0.0,-0.0,0.0
2025-07-30 23:45:00+02:00,96.12495443532367,44.57669528155725,141.65753981439764,,0.0,-0.0,0.0,0.0
2025-07-31 00:00:00+02:00,87.48520426093992,35.9369451071735,133.0177896400139,,0.0,0.0,0.0,-0.0
2025-07-31 00:15:00+02:00,87.31629115763093,35.768032003864505,132.8488765367049,,0.0,0.0,-0.0,-0.0
2025-07-31 00:30:00+02:00,87.10367808637884,35.55541893261241,132.6362634654528,,0.0,0.0,-0.0,-0.0
2025-07-31 00:45:00+02:00,86.91117234482101,35.36291319105459,132.44375772389498,,0.0,0.0,-0.0,-0.0
2025-07-31 01:00:00+02:00,87.54671901117118,35.998459857404754,133.07930439024514,,0.0,-0.0,-0.0,-0.0
2025-07-31 01:15:00+02:00,87.60508948293386,36.05683032916744,133.13767486200783,,0.0,0.0,-0.0,-0.0
2025-07-31 01:30:00+02:00,87.65977306357647,36.11151390981004,133.19235844265043,,0.0,0.0,-0.0,0.0
2025-07-31 01:45:00+02:00,87.48956709628912,35.9413079425227,133.0221524753631,,0.0,0.0,0.0,0.0
2025-07-31 02:00:00+02:00,83.91027834733684,32.36201919357042,129.44286372641082,5784.89201739912,0.0,0.0,0.0,0.0
2025-07-31 02:15:00+02:00,83.65467043334182,32.1064112795754,129.1872558124158,,0.0,0.0,0.0,-0.0
2025-07-31 02:30:00+02:00,83.6749188201594,32.12665966639298,129.20750419923337,,0.0,0.0,-0.0,-0.0
2025-07-31 02:45:00+02:00,83.70642986582737,32.15817071206095,129.23901524490134,,0.0,0.0,-0.0,-0.0
2025-07-31 03:00:00+02:00,82.88795002959229,31.339690875825866,128.42053540866627,,8.530943475100784,0.0,-0.0,8.104396301345744
2025-07-31 03:15:00+02:00,83.01405472828239,31.465795574515965,128.54664010735635,,0.0,0.0,8.104396301345744,8.104396301345744
2025-07-31 03:30:00+02:00,82.9395529164077,31.391293762641283,128.47213829548167,,0.0,0.0,8.104396301345744,8.104396301345744
2025-07-31 03:45:00+02:00,82.6511301092013,31.10287095543488,128.18371548827528,,12.5,0.0,8.104396301345744,19.979396301345744
2025-07-31 04:00:00+02:00,83.67869451943803,32.1304353656716,129.211279898512,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 04:15:00+02:00,83.86718732171421,32.31892816794779,129.3997727007882,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 04:30:00+02:00,84.03491347188707,32.48665431812064,129.56749885096104,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 04:45:00+02:00,84.28584741480016,32.737588261033736,129.81843279387414,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 05:00:00+02:00,85.76258901860592,34.2143298648395,131.2951743976799,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 05:15:00+02:00,86.42658473763261,34.878325583866186,131.9591701167066,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 05:30:00+02:00,86.91856847550224,35.37030932173582,132.4511538545762,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 05:45:00+02:00,87.1164201827799,35.56816102901348,132.64900556185387,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 06:00:00+02:00,95.13997480022822,43.59171564646179,140.6725601793022,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 06:15:00+02:00,95.70079864684129,44.15253949307487,141.23338402591526,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 06:30:00+02:00,95.84291673504752,44.2946575812811,141.3755021141215,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 06:45:00+02:00,95.43279319327989,43.88453403951347,140.96537857235387,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 07:00:00+02:00,101.68594065444388,50.13768150067746,147.21852603351786,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 07:15:00+02:00,101.59254499869702,50.0442858449306,147.125130377771,,0.0,0.0,19.979396301345744,19.979396301345744
2025-07-31 07:30:00+02:00,102.60835149554373,51.060092341777306,148.1409368746177,,0.0,6.480426486278458,19.979396301345744,13.157894736842104
2025-07-31 07:45:00+02:00,103.5155793210631,51.96732016729668,149.04816470013708,,0.0,12.5,13.157894736842104,0.0
2025-07-31 08:00:00+02:00,94.8719047816603,43.32364562789388,140.40449016073427,,0.0,-0.0,0.0,0.0
2025-07-31 08:15:00+02:00,94.71838524060546,43.17012608683903,140.25097061967944,,0.0,0.0,0.0,-0.0
2025-07-31 08:30:00+02:00,94.909283300376,43.36102414660958,140.44186867944998,,0.0,-0.0,-0.0,0.0
2025-07-31 08:45:00+02:00,94.51977006892308,42.97151091515666,140.05235544799706,,0.0,-0.0,0.0,0.0
2025-07-31 09:00:00+02:00,84.72163803492545,33.173378881159024,130.25422341399943,,0.0,-0.0,0.0,0.0
2025-07-31 09:15:00+02:00,83.51543999241811,31.967180838651686,129.0480253714921,,0.0,-0.0,0.0,0.0
2025-07-31 09:30:00+02:00,81.60271250089401,30.05445334712759,127.135297879968,,0.0,-0.0,0.0,0.0
2025-07-31 09:45:00+02:00,80.64148274798643,29.093223594220007,126.1740681270604,,0.0,-0.0,0.0,0.0
2025-07-31 10:00:00+02:00,70.38194049124996,18.83368133748354,115.91452587032393,,0.0,-0.0,0.0,0.0
2025-07-31 10:15:00+02:00,69.53843681996125,17.990177666194825,115.07102219903521,,0.0,-0.0,0.0,0.0
2025-07-31 10:30:00+02:00,68.72819794485753,17.179938791091104,114.26078332393149,,0.0,-0.0,0.0,0.0
2025-07-31 10:45:00+02:00,65.46299229788923,13.914733144122806,110.9955776769632,,0.0,-0.0,0.0,0.0
2025-07-31 11:00:00+02:00,54.871316479612645,3.3230573258462215,100.40390185868662,,0.0,-0.0,0.0,0.0
2025-07-31 11:15:00+02:00,50.612825743712484,-0.935433410053939,96.14541112278646,,0.0,0.0,0.0,-0.0
2025-07-31 11:30:00+02:00,49.46051114270947,-2.087748011056952,94.99309652178344,,0.0,0.0,-0.0,-0.0
2025-07-31 11:45:00+02:00,48.35982713747169,-3.1884320162947333,93.89241251654566,,0.0,0.0,-0.0,-0.0
2025-07-31 12:00:00+02:00,37.57071817491505,-13.977540978851373,83.10330355398902,,0.0,0.0,-0.0,-0.0
2025-07-31 12:15:00+02:00,36.772237369409694,-14.776021784356729,82.30482274848367,,0.0,0.0,-0.0,-0.0
2025-07-31 12:30:00+02:00,36.45695768565329,-15.09130146811313,81.98954306472726,,0.0,0.0,-0.0,-0.0
2025-07-31 12:45:00+02:00,36.093739633542896,-15.454519520223528,81.62632501261686,,5.2631578947368425,0.0,-0.0,5.0
2025-07-31 13:00:00+02:00,33.88404410764596,-17.66421504612046,79.41662948671993,,12.5,0.0,5.0,16.875
2025-07-31 13:15:00+02:00,34.68626677557778,-16.861992378188646,80.21885215465176,,12.5,0.0,16.875,28.75
2025-07-31 13:30:00+02:00,33.646203191960815,-17.90205596180561,79.17878857103479,,12.5,0.0,28.75,40.625
2025-07-31 13:45:00+02:00,34.55348737871363,-16.99477177505279,80.0860727577876,,12.5,0.0,40.625,52.5
2025-07-31 14:00:00+02:00,33.16419844903088,-18.384060704735546,78.69678382810486,,12.5,0.0,52.5,64.375
2025-07-31 14:15:00+02:00,32.733559192634516,-18.814699961131907,78.26614457170848,,12.5,0.0,64.375,76.25
2025-07-31 14:30:00+02:00,31.65872086420161,-19.889538289564815,77.19130624327558,,12.5,0.0,76.25,88.125
2025-07-31 14:45:00+02:00,31.665063071080873,-19.88319608268555,77.19764845015484,,12.5,0.0,88.125,100.0
2025-07-31 15:00:00+02:00,37.51048942615775,-14.037769727608676,83.04307480523173,,-0.0,0.0,100.0,100.0
2025-07-31 15:15:00+02:00,40.159355573553015,-11.388903580213409,85.691940952627,,0.0,0.0,100.0,100.0
2025-07-31 15:30:00+02:00,44.41762043477848,-7.130638718987946,89.95020581385245,,0.0,0.0,100.0,100.0
2025-07-31 15:45:00+02:00,46.66814124515829,-4.880117908608135,92.20072662423226,,0.0,0.0,100.0,100.0
2025-07-31 16:00:00+02:00,62.13223334933279,10.58397419556637,107.66481872840677,,0.0,0.0,100.0,100.0
2025-07-31 16:15:00+02:00,69.99382115283404,18.44556199906762,115.52640653190801,,0.0,-0.0,100.0,100.0
2025-07-31 16:30:00+02:00,78.44660001633547,26.898340862569043,123.97918539540944,,-0.0,0.0,100.0,100.0
2025-07-31 16:45:00+02:00,79.60932922817109,28.061070074404668,125.14191460724507,,-0.0,0.0,100.0,100.0
2025-07-31 17:00:00+02:00,86.7400300238532,35.19177087008677,132.27261540292716,,0.0,0.0,100.0,100.0
2025-07-31 17:15:00+02:00,86.55653868530987,35.00827953154345,132.08912406438384,,0.0,0.0,100.0,100.0
