,y_pred,pi_lo,pi_hi,0,charge,discharge,soc_start,soc_end
2025-07-15 11:00:00+02:00,48.085207964775805,0.10130808078056219,90.72437655011635,,0.0,0.0,0.0,-0.0
2025-07-15 11:15:00+02:00,47.616227354621124,-0.36767252937411854,90.25539593996166,,0.0,0.0,-0.0,-0.0
2025-07-15 11:30:00+02:00,47.23358465373596,-0.7503152302592824,89.8727532390765,,0.0,0.0,-0.0,-0.0
2025-07-15 11:45:00+02:00,47.17102990797636,-0.8128699760188809,89.8101984933169,,0.0,0.0,-0.0,-0.0
2025-07-15 12:00:00+02:00,39.65364678662674,-8.330253097368505,82.29281537196727,,0.0,0.0,-0.0,-0.0
2025-07-15 12:15:00+02:00,39.159387958741185,-8.824511925254058,81.79855654408172,,12.5,0.0,-0.0,11.875
2025-07-15 12:30:00+02:00,39.535607547792075,-8.448292336203167,82.17477613313261,,0.0,0.0,11.875,11.875
2025-07-15 12:45:00+02:00,39.59808933797874,-8.3858105460165,82.23725792331928,,0.0,0.0,11.875,11.875
2025-07-15 13:00:00+02:00,35.27896667156276,-12.70493321243248,77.9181352569033,,12.5,0.0,11.875,23.75
2025-07-15 13:15:00+02:00,35.4817856344865,-12.502114249508743,78.12095421982704,,12.5,0.0,23.75,35.625
2025-07-15 13:30:00+02:00,35.86820112523216,-12.115698758763081,78.5073697105727,,12.5,0.0,35.625,47.5
2025-07-15 13:45:00+02:00,37.43074993221679,-10.553149951778451,80.06991851755733,,12.5,0.0,47.5,59.375
2025-07-15 14:00:00+02:00,38.872606940916775,-9.111292943078467,81.51177552625731,,12.5,0.0,59.375,71.25
2025-07-15 14:15:00+02:00,38.57762084127913,-9.406279042716115,81.21678942661967,,12.5,0.0,71.25,83.125
2025-07-15 14:30:00+02:00,38.69729632509086,-9.286603558904382,81.3364649104314,,12.5,0.0,83.125,95.0
2025-07-15 14:45:00+02:00,39.01727432941499,-8.966625554580254,81.65644291475553,,5.2631578947368425,0.0,95.0,100.0
2025-07-15 15:00:00+02:00,59.392393949348055,11.408494065352812,102.03156253468859,,0.0,0.0,100.0,100.0
2025-07-15 15:15:00+02:00,60.93720788234356,12.953307998348315,103.5763764676841,,0.0,-0.0,100.0,100.0
2025-07-15 15:30:00+02:00,60.38055794476049,12.396658060765247,103.01972653010102,,0.0,0.0,100.0,100.0
2025-07-15 15:45:00+02:00,62.25274051976964,14.268840635774396,104.89190910511017,,-0.0,0.0,100.0,100.0
2025-07-15 16:00:00+02:00,74.32289954714757,26.33899966315233,116.9620681324881,,0.0,0.0,100.0,100.0
2025-07-15 16:15:00+02:00,74.29651638435794,26.3126165003627,116.93568496969849,,0.0,0.0,100.0,100.0
2025-07-15 16:30:00+02:00,73.32326151885201,25.339361634856765,115.96243010419255,,0.0,0.0,100.0,100.0
2025-07-15 16:45:00+02:00,71.64803769422286,23.664137810227622,114.2872062795634,,-0.0,0.0,100.0,100.0
2025-07-15 17:00:00+02:00,82.89839767508383,34.914497791088586,125.53756626042437,,0.0,0.0,100.0,100.0
2025-07-15 17:15:00+02:00,82.58898225945252,34.60508237545728,125.22815084479305,,0.0,0.0,100.0,100.0
2025-07-15 17:30:00+02:00,81.28822482319502,33.30432493919978,123.92739340853555,,0.0,0.0,100.0,100.0
2025-07-15 17:45:00+02:00,80.93175046384275,32.947850579847504,123.57091904918329,,0.0,0.0,100.0,100.0
2025-07-15 18:00:00+02:00,99.96767305113757,51.983773167142324,142.6068416364781,,0.0,0.0,100.0,100.0
2025-07-15 18:15:00+02:00,102.25555472608015,54.27165484208491,144.89472331142068,,0.0,0.0,100.0,100.0
2025-07-15 18:30:00+02:00,104.31083312435268,56.32693324035744,146.95000170969323,,0.0,-0.0,100.0,100.0
2025-07-15 18:45:00+02:00,106.24795884457559,58.26405896058035,148.88712742991612,,0.0,-0.0,100.0,100.0
